company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,total_seats,total_passengers,scheduled_ground_time_minutes,total_children,actual_ground_time_minutes,basic_economy_pax,time_pressure_ratio,pnr_count,minimum_turn_minutes,load_factor,children_ratio,basic_economy_ratio,ground_time_variance,avg_party_size,ground_time_efficiency
UA,1414,2025-08-13,ORD,BOI,0.4202572538029419,150,158,59,8,78,12,-0.2203389830508474,104,46,1.0533333333333332,0.050632911392405,0.0759493670886076,0.3220338983050847,1.5192307692307692,1.2826086956521738
UA,1156,2025-08-13,ORD,MSY,0.3717436217831307,179,72,73,2,62,9,-0.2328767123287671,60,56,0.4022346368715084,0.0277777777777777,0.125,-0.1506849315068493,1.2,1.3035714285714286
UA,247,2025-08-13,ORD,OMA,0.3803067891286787,150,114,69,5,86,5,-0.3333333333333333,86,46,0.76,0.043859649122807,0.043859649122807,0.2463768115942029,1.3255813953488371,1.5
UA,2378,2025-08-08,ORD,LAX,0.4311822392337278,200,238,77,15,94,17,-0.1948051948051948,145,62,1.19,0.0630252100840336,0.0714285714285714,0.2207792207792207,1.6413793103448275,1.2419354838709675
OO,5930,2025-08-14,ORD,FAR,0.431561651088249,50,53,205,1,91,6,-0.8585365853658536,42,29,1.06,0.0188679245283018,0.1132075471698113,-0.5560975609756098,1.261904761904762,7.068965517241379
YX,3628,2025-08-11,ORD,IND,0.3830666967032281,76,76,45,0,38,5,-0.2444444444444444,66,34,1.0,0.0,0.0657894736842105,-0.1555555555555555,1.1515151515151516,1.3235294117647058
OO,5564,2025-08-01,ORD,SBN,0.383292564364698,50,55,57,1,87,3,-0.4912280701754385,43,29,1.1,0.0181818181818181,0.0545454545454545,0.5263157894736842,1.2790697674418603,1.9655172413793105
UA,2361,2025-08-13,ORD,LAX,0.3769916046354404,234,143,662,5,498,7,-0.9003021148036254,103,66,0.6111111111111112,0.0349650349650349,0.0489510489510489,-0.2477341389728096,1.3883495145631068,10.030303030303031
YX,3520,2025-08-05,ORD,CVG,0.4227997463032472,76,71,162,4,166,10,-0.7901234567901234,49,34,0.9342105263157896,0.056338028169014,0.1408450704225352,0.0246913580246913,1.4489795918367347,4.764705882352941
G7,4546,2025-08-06,ORD,AVP,0.3665080599623202,50,46,-5,0,23,2,0.0,41,29,0.92,0.0,0.0434782608695652,0.0,1.1219512195121952,-0.1724137931034483
OO,5362,2025-08-14,ORD,MKE,0.4396455671103257,50,60,90,3,66,5,-0.6777777777777778,34,29,1.2,0.05,0.0833333333333333,-0.2666666666666666,1.7647058823529411,3.103448275862069
OO,5251,2025-08-03,ORD,ASE,0.4245401963199847,70,73,68,4,91,8,-0.5,49,34,1.042857142857143,0.0547945205479452,0.1095890410958904,0.3382352941176471,1.489795918367347,2.0
G7,4429,2025-08-07,ORD,FSD,0.3828636452236489,50,50,57,1,78,0,-0.4912280701754385,34,29,1.0,0.02,0.0,0.3684210526315789,1.4705882352941178,1.9655172413793105
UA,1899,2025-08-01,ORD,YYC,0.4800658457403302,126,178,70,13,102,14,-0.2571428571428571,81,52,1.4126984126984128,0.0730337078651685,0.0786516853932584,0.4571428571428571,2.197530864197531,1.3461538461538465
UA,2137,2025-08-03,ORD,SLC,0.4193744459575699,166,180,68,9,76,16,-0.25,114,51,1.0843373493975903,0.05,0.0888888888888888,0.1176470588235294,1.5789473684210529,1.3333333333333333
UA,1576,2025-08-10,ORD,LGA,0.4044860459937264,166,170,80,2,73,34,-0.3625,148,51,1.0240963855421688,0.0117647058823529,0.2,-0.0875,1.148648648648649,1.568627450980392
UA,2004,2025-08-11,ORD,SYR,0.4260558826473043,150,171,84,7,102,11,-0.4523809523809524,128,46,1.14,0.0409356725146198,0.0643274853801169,0.2142857142857142,1.3359375,1.826086956521739
UA,343,2025-08-02,ORD,SFO,0.455581420893064,200,274,1079,22,1115,14,-0.9425393883225208,149,62,1.37,0.0802919708029197,0.0510948905109489,0.0333642261353104,1.8389261744966443,17.403225806451612
UA,2370,2025-08-11,ORD,BOS,0.4039585039562798,179,201,79,5,69,10,-0.2911392405063291,150,56,1.1229050279329609,0.0248756218905472,0.0497512437810945,-0.1265822784810126,1.34,1.4107142857142858
UA,2189,2025-08-01,ORD,LGA,0.4180570366070582,166,186,96,6,94,30,-0.375,126,60,1.120481927710843,0.032258064516129,0.1612903225806451,-0.0208333333333333,1.4761904761904765,1.6
UA,481,2025-08-12,ORD,RNO,0.3968036334146004,126,77,95,3,51,10,-0.5473684210526316,53,43,0.6111111111111112,0.0389610389610389,0.1298701298701298,-0.4631578947368421,1.4528301886792452,2.2093023255813957
UA,1209,2025-08-15,ORD,EWR,0.4632235126755729,179,218,67,13,55,58,-0.1641791044776119,139,56,1.217877094972067,0.0596330275229357,0.2660550458715596,-0.1791044776119403,1.5683453237410072,1.1964285714285714
UA,2177,2025-08-15,ORD,MSN,0.3898225305452698,126,138,9,4,42,5,3.7777777777777777,105,43,1.0952380952380951,0.0289855072463768,0.036231884057971,3.6666666666666665,1.3142857142857145,0.2093023255813953
UA,909,2025-08-13,ORD,AMS,0.4225273853647879,243,262,280,6,319,0,-0.6607142857142857,149,95,1.0781893004115226,0.0229007633587786,0.0,0.1392857142857143,1.7583892617449663,2.9473684210526314
UA,1584,2025-08-05,ORD,LAX,0.4475436443702063,200,265,711,19,739,28,-0.9127988748241912,159,62,1.325,0.0716981132075471,0.1056603773584905,0.0393811533052039,1.6666666666666667,11.46774193548387
YX,3690,2025-08-13,ORD,IND,0.3520820689892583,76,68,57,0,45,1,-0.4035087719298245,60,34,0.8947368421052632,0.0,0.0147058823529411,-0.2105263157894736,1.1333333333333333,1.6764705882352942
YX,3542,2025-08-15,ORD,YUL,0.3924471012528706,76,83,53,2,71,4,-0.2075471698113207,61,42,1.0921052631578947,0.0240963855421686,0.0481927710843373,0.3396226415094339,1.360655737704918,1.261904761904762
OO,4791,2025-08-14,ORD,SBN,0.4068990344090124,50,59,56,3,32,2,-0.4821428571428571,46,29,1.18,0.0508474576271186,0.0338983050847457,-0.4285714285714285,1.2826086956521738,1.9310344827586208
UA,2011,2025-08-11,ORD,YVR,0.4000062502298999,150,162,67,5,103,3,-0.1044776119402985,99,60,1.08,0.0308641975308641,0.0185185185185185,0.5373134328358209,1.6363636363636365,1.1166666666666667
UA,1946,2025-08-15,ORD,LGA,0.471232181680975,166,196,105,10,114,40,-0.5142857142857142,125,51,1.180722891566265,0.0510204081632653,0.2040816326530612,0.0857142857142857,1.568,2.0588235294117645
OO,5292,2025-08-02,ORD,MTY,0.4249107221479564,76,87,756,4,749,8,-0.9444444444444444,52,42,1.144736842105263,0.0459770114942528,0.0919540229885057,-0.0092592592592592,1.6730769230769231,18.0
UA,845,2025-08-12,ORD,GRU,0.4439308440265279,318,260,300,11,379,2,-0.4833333333333333,166,155,0.8176100628930818,0.0423076923076923,0.0076923076923076,0.2633333333333333,1.5662650602409638,1.935483870967742
YX,3525,2025-08-13,ORD,YYZ,0.412729201188235,76,90,58,5,78,4,-0.2758620689655172,63,42,1.1842105263157894,0.0555555555555555,0.0444444444444444,0.3448275862068966,1.4285714285714286,1.380952380952381
UA,2677,2025-08-06,ORD,IAD,0.3834011640053943,176,160,231,4,412,8,-0.4718614718614718,124,122,0.9090909090909092,0.025,0.05,0.7835497835497836,1.2903225806451613,1.89344262295082
UA,767,2025-08-13,ORD,DEN,0.3830047833849411,200,202,22,5,64,13,1.818181818181818,153,62,1.01,0.0247524752475247,0.0643564356435643,1.9090909090909087,1.3202614379084967,0.3548387096774194
OO,5026,2025-08-13,ORD,JST,0.4239523190282193,50,53,40,3,69,5,-0.275,35,29,1.06,0.0566037735849056,0.0943396226415094,0.725,1.5142857142857142,1.3793103448275863
OO,5493,2025-08-05,ORD,ATW,0.3825661844346164,50,53,106,1,116,3,-0.7264150943396226,41,29,1.06,0.0188679245283018,0.0566037735849056,0.0943396226415094,1.2926829268292683,3.655172413793104
G7,4519,2025-08-06,ORD,SCE,0.3643414205673487,50,43,70,1,62,1,-0.5857142857142857,38,29,0.86,0.0232558139534883,0.0232558139534883,-0.1142857142857142,1.131578947368421,2.413793103448276
OO,4791,2025-08-04,ORD,SBN,0.3515577879237899,50,45,56,0,60,1,-0.4821428571428571,43,29,0.9,0.0,0.0222222222222222,0.0714285714285714,1.0465116279069768,1.9310344827586208
UA,592,2025-08-03,ORD,JAC,0.4302113396080441,126,161,57,9,89,4,-0.2456140350877192,87,43,1.2777777777777777,0.0559006211180124,0.0248447204968944,0.5614035087719298,1.8505747126436785,1.3255813953488371
G7,4590,2025-08-01,ORD,MDT,0.397840748271259,50,55,42,2,43,4,-0.3095238095238095,41,29,1.1,0.0363636363636363,0.0727272727272727,0.0238095238095238,1.3414634146341464,1.4482758620689655
YX,3464,2025-08-13,ORD,PIT,0.3808072366005282,76,76,142,1,48,6,-0.7253521126760564,62,39,1.0,0.0131578947368421,0.0789473684210526,-0.6619718309859155,1.2258064516129032,3.641025641025641
OO,5963,2025-08-14,ORD,BDL,0.3946925758177855,70,74,59,1,74,3,-0.423728813559322,60,34,1.0571428571428572,0.0135135135135135,0.0405405405405405,0.2542372881355932,1.2333333333333334,1.7352941176470589
OO,5447,2025-08-10,ORD,PVD,0.391864106448087,70,67,71,4,33,0,-0.5211267605633803,46,34,0.9571428571428572,0.0597014925373134,0.0,-0.5352112676056338,1.4565217391304348,2.088235294117647
UA,1495,2025-08-05,ORD,TVC,0.3753903892258435,150,74,57,2,60,10,-0.1929824561403508,54,46,0.4933333333333333,0.027027027027027,0.1351351351351351,0.0526315789473684,1.3703703703703705,1.2391304347826086
UA,2100,2025-08-08,ORD,SLC,0.4195026563062182,166,191,68,6,100,20,-0.25,120,51,1.1506024096385543,0.031413612565445,0.1047120418848167,0.4705882352941176,1.5916666666666666,1.3333333333333333
UA,2640,2025-08-05,ORD,DCA,0.3429209021047442,126,59,119,0,124,2,-0.5714285714285714,49,51,0.4682539682539682,0.0,0.0338983050847457,0.042016806722689,1.2040816326530612,2.333333333333333
UA,224,2025-08-01,ORD,BZN,0.4322998616686448,166,196,206,9,84,13,-0.7087378640776699,95,60,1.180722891566265,0.0459183673469387,0.0663265306122449,-0.5922330097087378,2.0631578947368423,3.433333333333333
OO,5392,2025-08-15,ORD,OKC,0.3894583053667257,76,70,165,3,130,3,-0.7636363636363637,49,39,0.9210526315789472,0.0428571428571428,0.0428571428571428,-0.2121212121212121,1.4285714285714286,4.230769230769231
OO,5984,2025-08-05,ORD,BIL,0.4445136421511972,76,100,78,5,28,7,-0.5641025641025641,52,34,1.3157894736842106,0.05,0.07,-0.6410256410256411,1.9230769230769231,2.294117647058824
OO,5737,2025-08-13,ORD,OMA,0.3804906502228944,76,50,47,2,74,0,-0.2765957446808511,28,34,0.6578947368421053,0.04,0.0,0.574468085106383,1.7857142857142858,1.3823529411764706
G7,4552,2025-08-03,ORD,DAY,0.3897191669327586,50,44,74,0,57,6,-0.6081081081081081,36,29,0.88,0.0,0.1363636363636363,-0.2297297297297297,1.2222222222222223,2.5517241379310347
G7,4476,2025-08-07,ORD,CAE,0.4075408171327502,50,55,110,1,209,4,-0.7363636363636363,39,29,1.1,0.0181818181818181,0.0727272727272727,0.9,1.4102564102564104,3.793103448275862
G7,4482,2025-08-02,ORD,TUL,0.3760072636022052,50,52,40,1,51,2,-0.275,41,29,1.04,0.0192307692307692,0.0384615384615384,0.275,1.2682926829268293,1.3793103448275863
OO,5557,2025-08-12,ORD,OKC,0.402120775214297,76,81,73,2,63,10,-0.5342465753424658,63,34,1.0657894736842106,0.0246913580246913,0.1234567901234567,-0.136986301369863,1.2857142857142858,2.147058823529412
UA,2683,2025-08-11,ORD,SAN,0.4011536409266791,166,188,95,4,114,9,-0.4631578947368421,136,51,1.1325301204819278,0.0212765957446808,0.0478723404255319,0.2,1.3823529411764706,1.862745098039216
OO,5557,2025-08-13,ORD,OKC,0.4086573131467435,76,86,73,3,87,12,-0.5342465753424658,67,34,1.131578947368421,0.0348837209302325,0.1395348837209302,0.1917808219178082,1.2835820895522387,2.147058823529412
YX,3716,2025-08-13,ORD,CMH,0.380859394934281,76,84,47,3,53,0,-0.2765957446808511,64,34,1.105263157894737,0.0357142857142857,0.0,0.1276595744680851,1.3125,1.3823529411764706
UA,1616,2025-08-04,ORD,GRR,0.4105118687512888,179,161,88,7,85,9,-0.3636363636363636,111,56,0.8994413407821229,0.0434782608695652,0.0559006211180124,-0.034090909090909,1.4504504504504503,1.5714285714285714
YX,3440,2025-08-15,ORD,YYZ,0.3838705275644894,76,72,539,0,544,5,-0.922077922077922,48,42,0.9473684210526316,0.0,0.0694444444444444,0.0092764378478664,1.5,12.833333333333334
OO,5836,2025-08-10,ORD,TYS,0.3829654101939038,50,53,45,1,39,2,-0.3555555555555555,35,29,1.06,0.0188679245283018,0.0377358490566037,-0.1333333333333333,1.5142857142857142,1.5517241379310345
OO,5493,2025-08-06,ORD,ATW,0.3902110203230305,50,54,104,2,107,2,-0.7211538461538461,40,29,1.08,0.037037037037037,0.037037037037037,0.0288461538461538,1.35,3.586206896551724
UA,1775,2025-08-10,ORD,FLL,0.4480149804253729,179,246,75,19,101,14,-0.2533333333333333,136,56,1.3743016759776536,0.0772357723577235,0.056910569105691,0.3466666666666667,1.8088235294117647,1.3392857142857142
UA,2653,2025-08-05,ORD,RDU,0.4245169143589101,179,187,69,7,64,30,-0.1884057971014492,128,56,1.0446927374301676,0.0374331550802139,0.160427807486631,-0.072463768115942,1.4609375,1.2321428571428572
G7,4552,2025-08-15,ORD,DAY,0.4016554289022318,50,41,79,1,100,9,-0.6329113924050633,35,29,0.82,0.024390243902439,0.2195121951219512,0.2658227848101265,1.1714285714285717,2.7241379310344827
UA,1599,2025-08-11,ORD,DEN,0.4269396061504085,364,432,186,19,177,9,-0.5,294,93,1.1868131868131868,0.0439814814814814,0.0208333333333333,-0.0483870967741935,1.469387755102041,2.0
UA,2666,2025-08-07,ORD,DEN,0.4429267372048419,200,236,470,9,219,42,-0.8680851063829788,158,62,1.18,0.0381355932203389,0.1779661016949152,-0.5340425531914894,1.4936708860759491,7.580645161290323
YX,3536,2025-08-11,ORD,YUL,0.3999379789332015,76,67,735,0,730,10,-0.9428571428571428,49,42,0.881578947368421,0.0,0.1492537313432835,-0.0068027210884353,1.3673469387755102,17.5
YX,3409,2025-08-07,ORD,YOW,0.39356519170699,76,83,50,2,58,4,-0.16,58,42,1.0921052631578947,0.0240963855421686,0.0481927710843373,0.16,1.4310344827586208,1.1904761904761905
G7,4590,2025-08-14,ORD,MDT,0.4124278531903504,50,60,-20,3,45,5,0.0,48,29,1.2,0.05,0.0833333333333333,0.0,1.25,-0.6896551724137931
UA,763,2025-08-01,ORD,PWM,0.4338939588025196,166,232,79,11,94,4,-0.3544303797468354,121,51,1.3975903614457832,0.0474137931034482,0.0172413793103448,0.189873417721519,1.9173553719008265,1.5490196078431373
UA,2195,2025-08-08,ORD,BDL,0.3821768960621288,166,156,63,4,81,9,-0.1904761904761904,112,51,0.9397590361445785,0.0256410256410256,0.0576923076923076,0.2857142857142857,1.3928571428571428,1.2352941176470589
UA,1989,2025-08-12,ORD,BOS,0.3935708756841215,179,172,70,5,59,19,-0.2,127,56,0.9608938547486032,0.0290697674418604,0.1104651162790697,-0.1571428571428571,1.3543307086614174,1.25
OO,5930,2025-08-10,ORD,FAR,0.4178664688756239,50,49,107,3,30,6,-0.7289719626168224,34,29,0.98,0.0612244897959183,0.1224489795918367,-0.719626168224299,1.4411764705882353,3.689655172413793
UA,1793,2025-08-12,ORD,MSP,0.3711849158375758,150,134,78,3,139,6,-0.4102564102564102,120,46,0.8933333333333333,0.0223880597014925,0.044776119402985,0.782051282051282,1.1166666666666667,1.6956521739130437
UA,2677,2025-08-05,ORD,IAD,0.4114930513902006,176,204,246,9,268,5,-0.5040650406504065,139,122,1.1590909090909092,0.0441176470588235,0.0245098039215686,0.089430894308943,1.4676258992805755,2.0163934426229506
OO,5521,2025-08-01,ORD,ATW,0.3813093382899958,50,47,-28,0,59,5,0.0,36,29,0.94,0.0,0.1063829787234042,0.0,1.3055555555555556,-0.9655172413793104
UA,2487,2025-08-15,ORD,PHL,0.3486286669276256,179,99,3,5,49,13,17.666666666666668,65,56,0.553072625698324,0.0505050505050505,0.1313131313131313,15.333333333333334,1.523076923076923,0.0535714285714285
YX,3614,2025-08-09,ORD,MCI,0.4490809117173035,76,99,95,8,95,5,-0.6421052631578947,43,34,1.3026315789473684,0.0808080808080808,0.0505050505050505,0.0,2.302325581395349,2.794117647058824
YX,3708,2025-08-15,ORD,BNA,0.388093449860216,70,70,40,0,47,4,-0.15,57,34,1.0,0.0,0.0571428571428571,0.175,1.2280701754385963,1.1764705882352942
UA,1657,2025-08-08,ORD,LGA,0.4219876284485999,166,190,835,6,784,23,-0.9389221556886228,128,51,1.144578313253012,0.031578947368421,0.1210526315789473,-0.0610778443113772,1.484375,16.372549019607842
OO,5915,2025-08-10,ORD,LNK,0.4180119444773668,50,56,43,3,46,5,-0.3255813953488372,43,29,1.12,0.0535714285714285,0.0892857142857142,0.0697674418604651,1.302325581395349,1.4827586206896552
OO,5790,2025-08-01,ORD,CRW,0.4124650927030388,50,54,-7,2,36,9,0.0,43,29,1.08,0.037037037037037,0.1666666666666666,0.0,1.255813953488372,-0.2413793103448276
UA,2427,2025-08-12,ORD,CVG,0.3581579462038125,126,88,79,1,46,2,-0.4556962025316455,84,43,0.6984126984126984,0.0113636363636363,0.0227272727272727,-0.4177215189873418,1.0476190476190477,1.837209302325581
UA,265,2025-08-15,ORD,YYZ,0.3910034476682603,126,109,69,2,90,12,-0.2463768115942029,88,52,0.8650793650793651,0.018348623853211,0.110091743119266,0.3043478260869565,1.2386363636363635,1.3269230769230769
UA,1996,2025-08-08,ORD,SJU,0.4423379889939339,200,223,204,7,224,25,-0.6666666666666666,133,68,1.115,0.0313901345291479,0.1121076233183856,0.0980392156862745,1.6766917293233083,3.0
OO,5229,2025-08-14,ORD,ILM,0.4168974815434195,76,76,39,2,53,15,-0.1282051282051282,52,34,1.0,0.0263157894736842,0.1973684210526315,0.358974358974359,1.4615384615384617,1.1470588235294117
UA,1361,2025-08-13,ORD,STL,0.4207828788505074,126,137,69,5,64,16,-0.3768115942028985,95,43,1.0873015873015872,0.0364963503649635,0.1167883211678832,-0.072463768115942,1.4421052631578948,1.6046511627906976
UA,1030,2025-08-09,ORD,ABQ,0.443363541845254,126,133,78,10,70,13,-0.4487179487179487,75,43,1.0555555555555556,0.075187969924812,0.0977443609022556,-0.1025641025641025,1.7733333333333334,1.813953488372093
OO,5020,2025-08-03,ORD,FOD,0.4124334528119467,50,30,60,1,59,7,-0.5166666666666667,17,29,0.6,0.0333333333333333,0.2333333333333333,-0.0166666666666666,1.7647058823529411,2.0689655172413794
YX,3718,2025-08-10,ORD,MSN,0.3986135994740537,76,76,63,2,81,7,-0.3809523809523809,53,39,1.0,0.0263157894736842,0.0921052631578947,0.2857142857142857,1.4339622641509433,1.6153846153846154
OO,5538,2025-08-09,ORD,HSV,0.3801523894648464,50,20,94,0,38,3,-0.6914893617021277,16,29,0.4,0.0,0.15,-0.5957446808510638,1.25,3.2413793103448274
UA,1778,2025-08-10,ORD,OMA,0.4358617984341175,126,144,62,8,37,29,-0.3064516129032258,100,43,1.1428571428571428,0.0555555555555555,0.2013888888888889,-0.4032258064516129,1.44,1.441860465116279
UA,2137,2025-08-07,ORD,SLC,0.4428423813746886,166,228,957,14,929,18,-0.9467084639498432,117,51,1.3734939759036144,0.0614035087719298,0.0789473684210526,-0.0292580982236154,1.948717948717949,18.764705882352946
UA,2137,2025-08-13,ORD,SLC,0.4083168498811738,166,163,68,7,106,11,-0.25,112,51,0.9819277108433736,0.0429447852760736,0.0674846625766871,0.5588235294117647,1.4553571428571428,1.3333333333333333
UA,2427,2025-08-05,ORD,CVG,0.3675153601716189,126,107,84,0,104,5,-0.4880952380952381,89,43,0.8492063492063492,0.0,0.0467289719626168,0.238095238095238,1.202247191011236,1.9534883720930232
G7,4482,2025-08-11,ORD,TUL,0.3460934726861989,50,41,-36,0,78,0,0.0,33,29,0.82,0.0,0.0,0.0,1.2424242424242424,-1.2413793103448276
UA,1304,2025-08-05,ORD,LAS,0.395719365961551,179,199,18,5,59,14,2.111111111111111,152,56,1.111731843575419,0.0251256281407035,0.0703517587939698,2.2777777777777777,1.3092105263157894,0.3214285714285714
OO,5250,2025-08-15,ORD,BNA,0.3733435758831807,76,74,65,1,55,0,-0.4769230769230769,54,34,0.9736842105263158,0.0135135135135135,0.0,-0.1538461538461538,1.3703703703703705,1.911764705882353
UA,2666,2025-08-10,ORD,DEN,0.4445513441347313,200,251,515,14,477,36,-0.8796116504854369,140,62,1.255,0.0557768924302788,0.1434262948207171,-0.0737864077669902,1.792857142857143,8.306451612903226
OO,5568,2025-08-02,ORD,MLI,0.3935807936170504,50,47,72,1,73,4,-0.5972222222222222,36,29,0.94,0.0212765957446808,0.0851063829787234,0.0138888888888888,1.3055555555555556,2.4827586206896552
OO,5849,2025-08-09,ORD,PWM,0.4250549958566916,76,88,117,5,56,4,-0.7094017094017094,49,34,1.1578947368421053,0.0568181818181818,0.0454545454545454,-0.5213675213675214,1.7959183673469388,3.4411764705882355
